method	run_name	context_source	context_weight	object	seg_AUROC_0.05	seg_F1	delta_AUROC_vs_no_context	delta_F1_vs_no_context	superad16_AUROC_0.05	delta_AUROC_vs_superad16	superad16_F1	delta_F1_vs_superad16	superadd_reported_AUROC_0.05	delta_AUROC_vs_superadd_reported	superadd_reported_F1	delta_F1_vs_superadd_reported
Context register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w1_dw025_20260707_v1	register	1.0	vial	0.7089665587250611	0.3975584750005961	0.00022618972617782784	0.00018774682873579085	0.6926503427427729	0.016316215982288163	0.3682480423323002	0.029310432668295916	0.8259000000000001	-0.11693344127493899	0.6476999999999999	-0.25014152499940384
Context register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w1_dw025_20260707_v1	register	1.0	wallplugs	0.8489216258030237	0.4111648452216065	-7.940383803961559e-05	-0.0004989375695216292	0.7759002668944561	0.07302135890856754	0.19938179661694835	0.21178304860465816	0.9253	-0.07637837419697635	0.7916	-0.38043515477839346
Context register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w1_dw025_20260707_v1	register	1.0	walnuts	0.8791088209675465	0.6912403371353789	0.000535374812793532	0.0009597967060938073	0.8838336016160715	-0.0047247806485249955	0.7187869381783508	-0.027546601042971908	0.9003	-0.02119117903245349	0.7569	-0.0656596628646211
Context register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w1_dw025_20260707_v1	register	1.0	sheet_metal	0.7648486000838225	0.42729996963471645	3.9941735403670187e-05	2.7240079307710996e-05	0.7729896874005413	-0.00814108731671881	0.40204330563402774	0.02525666400068871	0.9318000000000001	-0.16695139991617758	0.5954	-0.1681000303652836
Context CLS+register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w1_dw025_20260707_v1	cls_register	1.0	can	0.6666838472052049	0.006638568622889265	-0.0002690799114517528	-0.00012473768659258203	0.5869504558698861	0.07973339133531876	0.0015529473646858935	0.005085621258203372	0.5161	0.1505838472052049	0.0	0.006638568622889265
Context CLS+register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w1_dw025_20260707_v1	cls_register	1.0	fabric	0.7852718961992939	0.3441691794829318	0.005742551433817522	0.007475089952105385	0.6878531287790469	0.09741876742024702	0.27523884960281947	0.06893032988011233	0.8420000000000001	-0.05672810380070614	0.9373999999999999	-0.5932308205170681
Context CLS+register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w1_dw025_20260707_v1	cls_register	1.0	fruit_jelly	0.8134468250729407	0.5359344420621317	-0.00028443155450097457	-0.0010442761611793028	0.7978415688130558	0.015605256259884959	0.45315478588150393	0.08277965618062777	0.8119	0.001546825072940794	0.5468	-0.010865557937868253
Context CLS+register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w1_dw025_20260707_v1	cls_register	1.0	rice	0.9444728427325311	0.6924547511312217	-2.820618052234991e-06	-1.4202824464293329e-05	0.9283969240511856	0.016075918681345502	0.6658665235111987	0.026588227620022997	0.9611	-0.016627157267468884	0.7331	-0.040645248868778294
Context CLS+register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w1_dw025_20260707_v1	cls_register	1.0	vial	0.7092604079452052	0.3976944069417446	0.0005200389463219102	0.0003236787698843169	0.6926503427427729	0.016610065202432245	0.3682480423323002	0.029446364609444442	0.8259000000000001	-0.1166395920547949	0.6476999999999999	-0.2500055930582553
Context CLS+register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w1_dw025_20260707_v1	cls_register	1.0	wallplugs	0.8488837833424949	0.41106866065621334	-0.000117246298568352	-0.000595122134914805	0.7759002668944561	0.0729835164480388	0.19938179661694835	0.21168686403926498	0.9253	-0.07641621665750509	0.7916	-0.38053133934378663
