object	scenario	component	good_top_mean	bad_top_mean	delta_bad_good
sheet_metal	denoised_support_raw_query	feature_nn	0.58130288	0.58305198	0.00174910
sheet_metal	denoised_support_raw_query	final_score	6.19883537	6.21093321	0.01209784
sheet_metal	denoised_support_raw_query	latent_distance_norm	4.30804873	4.30851889	0.00047016
sheet_metal	raw_support_denoised_query	density_penalty	2.50560856	3.54881406	1.04320550
sheet_metal	raw_support_denoised_query	feature_nn	0.48769239	0.54936773	0.06167534
sheet_metal	raw_support_denoised_query	final_score	2.34695244	3.25188756	0.90493512
sheet_metal	raw_support_denoised_query	latent_distance_norm	2.03638530	2.54707170	0.51068640
sheet_metal	raw_support_raw_query	density_penalty	4.13832092	4.78580236	0.64748144
sheet_metal	raw_support_raw_query	feature_nn	0.42984307	0.47755837	0.04771530
sheet_metal	raw_support_raw_query	final_score	2.29311013	2.89745879	0.60434866
sheet_metal	raw_support_raw_query	latent_distance_norm	1.76818240	2.14918566	0.38100326
vial	denoised_support_denoised_query	density_penalty	3.97259974	4.48846149	0.51586175
vial	denoised_support_denoised_query	feature_nn	0.42259288	0.51204067	0.08944779
vial	denoised_support_denoised_query	final_score	3.80978036	4.72501612	0.91523576
vial	denoised_support_denoised_query	latent_distance_norm	3.01785970	3.62646461	0.60860491
vial	denoised_support_raw_query	density_penalty	6.97823763	6.98586035	0.00762272
vial	denoised_support_raw_query	feature_nn	0.57454741	0.58360130	0.00905389
vial	denoised_support_raw_query	final_score	5.90214777	5.91932058	0.01717281
vial	denoised_support_raw_query	latent_distance_norm	4.34579659	4.35237455	0.00657796
vial	raw_support_denoised_query	density_penalty	1.53524113	2.09100914	0.55576801
vial	raw_support_denoised_query	feature_nn	0.58042794	0.63113058	0.05070264
vial	raw_support_denoised_query	final_score	4.57305384	5.21072054	0.63766670
vial	raw_support_denoised_query	latent_distance_norm	4.32851648	4.74254036	0.41402388
vial	raw_support_raw_query	density_penalty	2.58183837	2.63912535	0.05728698
vial	raw_support_raw_query	feature_nn	0.42205772	0.53238487	0.11032715
vial	raw_support_raw_query	final_score	3.59839320	4.49921560	0.90082240
vial	raw_support_raw_query	latent_distance_norm	3.21738887	3.93980408	0.72241521
wallplugs	denoised_support_denoised_query	density_penalty	2.88942909	2.84880853	-0.04062056
wallplugs	denoised_support_denoised_query	feature_nn	0.43731451	0.42410639	-0.01320812
wallplugs	denoised_support_denoised_query	final_score	3.93330479	3.71295810	-0.22034669
wallplugs	denoised_support_denoised_query	latent_distance_norm	3.49473834	3.28017879	-0.21455955
wallplugs	denoised_support_raw_query	density_penalty	3.10935020	3.08515143	-0.02419877
wallplugs	denoised_support_raw_query	feature_nn	0.51848978	0.50551933	-0.01297045
wallplugs	denoised_support_raw_query	final_score	5.23846292	5.17656612	-0.06189680
wallplugs	denoised_support_raw_query	latent_distance_norm	4.60263586	4.55101109	-0.05162477
wallplugs	raw_support_denoised_query	density_penalty	2.97378135	2.90506196	-0.06871939
wallplugs	raw_support_denoised_query	feature_nn	0.49560082	0.47702956	-0.01857126
wallplugs	raw_support_denoised_query	final_score	3.92065644	3.74247098	-0.17818546
wallplugs	raw_support_denoised_query	latent_distance_norm	3.58259988	3.40111136	-0.18148852
wallplugs	raw_support_raw_query	density_penalty	2.55654979	2.52808380	-0.02846599
wallplugs	raw_support_raw_query	feature_nn	0.45962676	0.44413543	-0.01549133
wallplugs	raw_support_raw_query	final_score	3.62692070	3.42528462	-0.20163608
wallplugs	raw_support_raw_query	latent_distance_norm	3.29584670	3.10302353	-0.19282317
walnuts	denoised_support_denoised_query	density_penalty	4.03206778	4.54466057	0.51259279
